third_ac,arrival,from_station_code,name,zone,chair_car,first_class,duration_m,sleeper,from_station_name,number,departure,return_train,to_station_code,second_ac,classes,to_station_name,duration_h,type,first_ac,distance,geometry_type,coordinates
0,12:15:00,JAT,Jammu Tawi Udhampur Special,NR,0,0,35.0,0,JAMMU TAWI,04601,10:40:00,04602,UHP,0,,UDHAMPUR,1.0,DEMU,0,53.0,LineString,"[[74.880117, 32.706975], [74.953339, 32.762368], [75.044078, 32.80617], [75.13222499999999, 32.769105], [75.14542599999999, 32.863528], [75.154881, 32.92664]]"
0,08:35:00,UHP,UDHAMPUR JAMMUTAWI DMU,NR,0,0,50.0,0,UDHAMPUR,04602,06:45:00,04601,JAT,0,,JAMMU TAWI,1.0,DEMU,0,53.0,LineString,"[[75.154881, 32.92664], [75.14542599999999, 32.863528], [75.13222499999999, 32.769105], [75.044078, 32.80617], [74.953339, 32.762368], [74.880117, 32.706975]]"
0,17:50:00,JAT,JAT UDAHMPUR DMU,NR,0,0,35.0,0,JAMMU TAWI,04603,16:15:00,04604,UHP,0,,UDHAMPUR,1.0,DEMU,0,53.0,LineString,"[[74.880117, 32.706975], [74.953339, 32.762368], [75.044078, 32.80617], [75.13222499999999, 32.769105], [75.14542599999999, 32.863528], [75.154881, 32.92664]]"
0,19:50:00,UHP,UDHAMPUR JAMMUTAWI DMU,NR,0,0,30.0,0,UDHAMPUR,04604,18:20:00,04603,JAT,0,,JAMMU TAWI,1.0,DEMU,0,53.0,LineString,"[[75.154881, 32.92664], [75.14542599999999, 32.863528], [75.13222499999999, 32.769105], [75.044078, 32.80617], [74.953339, 32.762368], [74.880117, 32.706975]]"
1,12:30:00,BDTS,Mumbai BandraT-Bikaner SF Special,NWR,0,0,55.0,1,MUMBAI BANDRA TERMINUS,04728,14:35:00,04727,BKN,1,,BIKANER JN,21.0,SF,0,1212.0,LineString,"[[72.840535, 19.061911], [72.840078, 19.069166], [72.84133899999999, 19.082018], [72.84363, 19.099273999999998], [72.84685300000001, 19.1174289], [72.84906600000001, 19.136550999999997], [72.849389, 19.164447], [72.84917, 19.187089], [72.852098, 19.204551], [72.85641199999999, 19.228739], [72.859587, 19.250166], [72.856072, 19.280299], [72.85303900000001, 19.311766], [72.845954, 19.350875], [72.8322217, 19.3824486], [72.819464, 19.418238000000002], [72.811737, 19.454407], [72.849578, 19.517672], [72.82182599999999, 19.576592], [72.79082100000001, 19.624601000000002], [72.77248, 19.698038], [72.76033699999999, 19.754447000000003], [72.76189900000001, 19.7985273], [72.76318500000001, 19.882845], [72.74336799999999, 19.991217], [72.73799100000001, 20.08688], [72.766138, 20.122424], [72.79082100000001, 20.153499], [72.820594, 20.19165], [72.887446, 20.275323200000003], [72.90153400000001, 20.316435], [72.90912700000001, 20.374337999999998], [72.918698, 20.461236], [72.92431099999999, 20.513153], [72.9271335858, 20.544593354], [72.9335291, 20.6085595], [72.949119, 20.687336000000002], [72.96576, 20.729778], [72.970474, 20.763319], [72.956092, 20.811373000000003], [72.944978, 20.845167], [72.93641500000001, 20.874651], [72.914294, 20.946851], [72.88999799999999, 21.019949], [72.874083, 21.077673], [72.8613128, 21.1278829], [72.851461, 21.171156], [72.840793, 21.206568], [72.85479600000001, 21.232602], [72.86573000000001, 21.255892], [72.880104, 21.294043], [72.890287, 21.317203], [72.91647999999999, 21.37682], [72.926702, 21.399697], [72.95459799999999, 21.464052], [72.969512, 21.501091000000002], [72.978371, 21.535197], [73.000633, 21.623889], [72.997689, 21.706907], [73.010489, 21.753134000000003], [73.030592, 21.807541], [73.048979, 21.85838], [73.072387, 21.921578], [73.09899399999999, 21.991872], [73.119763, 22.050131999999998], [73.120353, 22.050722], [73.145838, 22.120085999999997], [73.156746, 22.149889], [73.16928300000001, 22.184274000000002], [73.175422, 22.232706], [73.178656, 22.283932999999998], [73.181065, 22.310756], [73.1431251, 22.3662226], [73.1122662115, 22.405252095399998], [73.0952734283, 22.418331636999998], [73.05999100000001, 22.452351], [73.0346944543, 22.486628078200003], [73.00645, 22.515278000000002], [72.965733, 22.561307], [72.921535, 22.614849], [72.88880999999999, 22.654716], [72.855718, 22.694105999999998], [72.8013557965, 22.759953846400002], [72.752481, 22.819556000000002], [72.725207, 22.847183], [72.705473, 22.867203999999997], [72.6778863, 22.895426699999998], [72.65515099999999, 22.917292], [72.6294363164, 22.959728549199998], [72.610413, 23.000142], [72.601516, 23.025515], [72.587162, 23.072985], [72.58928200000001, 23.077545999999998], [72.57787300000001, 23.097473], [72.563224, 23.111868], [72.543606, 23.074516000000003], [72.548244, 23.156554], [72.520002, 23.2126], [72.50363, 23.244576000000002], [72.46851799999999, 23.26246], [72.484975, 23.294039], [72.47975, 23.307875], [72.471355, 23.326699], [72.449853, 23.378698999999997], [72.44125299999999, 23.401485], [72.428861, 23.427144], [72.423181, 23.447386], [72.40164899999999, 23.521841], [72.394212, 23.542306999999997], [72.388708, 23.602623], [72.38933899999999, 23.709061000000002], [72.381669, 23.796456], [72.375949, 23.863182], [72.367959, 23.918067], [72.378575, 23.960815999999998], [72.40022099999999, 24.034518000000002], [72.4205625555, 24.1003209724], [72.430172, 24.174433], [72.45567100000001, 24.218469000000002], [72.488653, 24.267557999999998], [72.507154, 24.291967], [72.5337815405, 24.3460328561], [72.592045, 24.377144], [72.643675, 24.405948], [72.70044, 24.432277], [72.775695, 24.470775], [72.8034186484, 24.502604961899998], [72.8424186963, 24.5405071601], [72.886302, 24.595571], [72.9319259351, 24.6581702628], [72.98872560000001, 24.7131638], [73.039834, 24.791042], [73.07132899999999, 24.856164], [73.110095, 24.925895], [73.123647, 24.980982], [73.136306, 25.035574999999998], [73.14732500000001, 25.114043000000002], [73.192517, 25.170546], [73.23495299999999, 25.235808], [73.279577, 25.300189], [73.31039, 25.347582], [73.36331200000001, 25.419012000000002], [73.39687099999999, 25.462722], [73.450999, 25.520225999999997], [73.4924808, 25.5596627], [73.52738176000001, 25.60180707], [73.564613, 25.665207000000002], [73.609301, 25.720478999999997], [73.52353600000001, 25.75038], [73.43942509, 25.78029392], [73.327309, 25.790692], [73.0953188199, 25.921475609399998], [73.003175, 26.001255999999998], [73.005205, 26.059514], [73.01452424259999, 26.139957444700002], [73.010639, 26.222963], [73.0133366, 26.2484972], [73.02319, 26.283765], [73.039744, 26.291628000000003], [73.146431, 26.33951], [73.2228278314, 26.3680583662], [73.30532500000001, 26.397374], [73.3907543195, 26.4285105345], [73.448703, 26.452849999999998], [73.509748, 26.48978], [73.605896, 26.549322], [73.686313, 26.609843], [73.737284, 26.652200999999998], [73.818142, 26.697862], [73.917896, 26.728077000000003], [73.9073942175, 26.7834880329], [73.885443, 26.850374000000002], [73.861764, 26.923262], [73.815965, 27.063606], [73.72357199999999, 27.199991], [73.663015, 27.311355], [73.58576799999999, 27.337097], [73.5373822888, 27.416761083900003], [73.52546099999999, 27.446624], [73.47484800000001, 27.556203], [73.442249, 27.706677000000003], [73.338483, 27.791303], [73.273605, 27.845285999999998], [73.3438365942, 27.922973867499998], [73.31659800000001, 28.014139]]"
0,00:25:00,SSA,Sirsa - Hisar Passenger Special,?,0,0,35.0,0,Sirsa,04741,22:50:00,04742,HSR,0,,Hisar,1.0,Pass,0,82.0,LineString,"[[75.034944, 29.539153], [75.170322, 29.515832999999997], [75.218369, 29.493381999999997], [75.2606046, 29.461053699999997], [75.34013, 29.387323], [75.468851, 29.283136000000002], [75.57373, 29.209394], [75.724305, 29.152341]]"
0,06:10:00,HSR,Hisar - Sirsa Passenger Special,?,0,0,50.0,0,Hisar,04742,04:20:00,04741,SSA,0,,Sirsa,1.0,Pass,0,82.0,LineString,"[[75.724305, 29.152341], [75.57373, 29.209394], [75.468851, 29.283136000000002], [75.34013, 29.387323], [75.2606046, 29.461053699999997], [75.170322, 29.515832999999997], [75.034944, 29.539153]]"
0,23:45:00,DNA,Rewari Degana Merta Special,NWR,0,0,15.0,0,DEGANA JN,04853,22:30:00,04854,MTD,0,,MERTA ROAD JN,1.0,Pass,0,44.0,LineString,"[[74.316388, 26.897349], [74.316388, 26.897349], [74.250429, 26.868694], [74.250429, 26.868694], [74.194547, 26.844883], [74.194547, 26.844883], [74.07446200000001, 26.788798], [74.07446200000001, 26.788798], [74.014573, 26.759393000000003], [74.014573, 26.759393000000003], [73.917896, 26.728077000000003], [73.917896, 26.728077000000003]]"
0,04:40:00,MTD,Degana Merta Special,NWR,0,0,0.0,0,MERTA ROAD JN,04854,03:40:00,04853,DNA,0,,DEGANA JN,1.0,Pass,0,44.0,LineString,"[[73.917896, 26.728077000000003], [73.917896, 26.728077000000003], [74.014573, 26.759393000000003], [74.014573, 26.759393000000003], [74.07446200000001, 26.788798], [74.07446200000001, 26.788798], [74.194547, 26.844883], [74.194547, 26.844883], [74.250429, 26.868694], [74.250429, 26.868694], [74.316388, 26.897349], [74.316388, 26.897349]]"
1,17:50:00,JAT,JAMMU TAWI - BANDRA TERMINUS AC Suvidha Special (Starts 5 April),WR,0,0,20.0,1,JAMMU TAWI,09022,09:30:00,09021,BDTS,1,,MUMBAI BANDRA TERMINUS,32.0,SF,1,1957.0,LineString,"[[74.880117, 32.706975], [74.916171, 32.63896], [75.020996, 32.57197], [75.059067, 32.559965], [75.120256, 32.528358000000004], [75.213604, 32.504286], [75.268733, 32.487007000000006], [75.304858, 32.478914], [75.35904533, 32.46131096], [75.432931, 32.440429], [75.551922, 32.397897], [75.594728, 32.359168000000004], [75.61346499999999, 32.31198], [75.61637323000001, 32.27104809], [75.636651, 32.259653], [75.636044, 32.2593], [75.651062146, 32.2419748422], [75.668807, 32.184403], [75.64393899999999, 32.151615], [75.608482, 32.112895], [75.61447700000001, 32.101414], [75.623498, 32.083103], [75.61231335209999, 32.0195148161], [75.60945677000001, 31.9834478985], [75.61183799999999, 31.941873], [75.6375275745, 31.8706261437], [75.643654, 31.860857], [75.657932, 31.80853], [75.65349208250001, 31.7805618081], [75.647484, 31.729693], [75.637595, 31.672179], [75.639894, 31.617259999999998], [75.64132599999999, 31.579622], [75.6452234, 31.556593699999997], [75.636644, 31.516333], [75.63034779659999, 31.4751812122], [75.632658, 31.459179], [75.642236, 31.425164], [75.635791, 31.40278], [75.621561, 31.343172], [75.63210600000001, 31.306235], [75.70669127869999, 31.262694745], [75.7655019775, 31.217555749800002], [75.769234, 31.175], [75.769544, 31.17531], [75.77419300000001, 31.129722], [75.780007, 31.071444], [75.78576100000001, 31.016907], [75.78581100000001, 31.016957], [75.84787299999999, 30.912367], [75.87188, 30.894741], [75.90949099999999, 30.874477], [75.9795, 30.837436], [76.04330300000001, 30.804137], [76.0801522656, 30.7847375851], [76.127464975, 30.7594625741], [76.22513400000001, 30.707973], [76.2970739075, 30.6694834261], [76.383194, 30.624222], [76.44847259640001, 30.5828632034], [76.515682, 30.538386], [76.5940201901, 30.486458949], [76.684143667, 30.4290274715], [76.763996, 30.378497], [76.826966, 30.338918], [76.850054, 30.255264], [76.861554, 30.166186], [76.854437, 30.120677999999998], [76.84405122380001, 30.0663927023], [76.842512, 30.018915000000003], [76.852795, 29.969440000000002], [76.900028, 29.904968], [76.925491, 29.831492], [76.93858, 29.797906], [76.95536200000001, 29.751544], [76.969821, 29.694566000000002], [76.965812, 29.613391], [76.96575000000001, 29.541636], [76.968758, 29.494782], [76.966178, 29.449652], [76.96379300000001, 29.388948], [76.980194, 29.318564], [77.003034, 29.240172], [77.0082364, 29.1852092], [77.01074999999999, 29.130776], [77.012109, 29.090744], [77.012589, 29.063432000000002], [77.017343, 28.989423000000002], [77.039135, 28.945425], [77.05914800000001, 28.904132], [77.085727, 28.846886], [77.102334, 28.801187], [77.115838, 28.769717999999997], [77.1377425, 28.746799999999997], [77.16670699999999, 28.714205], [77.166876, 28.714564], [77.176713, 28.702645999999998], [77.199696, 28.668683], [77.216852, 28.658656], [77.22000399999999, 28.642314], [77.226612, 28.634101], [77.237995, 28.627633], [77.247277, 28.615267999999997], [77.254249, 28.587329999999998], [77.264825, 28.559332], [77.276461, 28.547701], [77.294046, 28.511962999999998], [77.303032, 28.458853], [77.30734799999999, 28.411473], [77.30936799999999, 28.376247999999997], [77.312775968, 28.3408609239], [77.317824, 28.288129], [77.323569, 28.250878], [77.34223200000001, 28.151841], [77.350991, 28.067751], [77.360583, 27.973644], [77.362553, 27.953084999999998], [77.38869, 27.886147], [77.445999, 27.788551], [77.502978, 27.711992000000002], [77.55842299999999, 27.63615], [77.622835, 27.555461], [77.66784, 27.501369999999998], [77.67311699999999, 27.480145], [77.62741799999999, 27.412426], [77.61766999999999, 27.40119], [77.573854, 27.354893999999998], [77.55550000000001, 27.324191], [77.53653800000001, 27.292281], [77.488613, 27.237106999999998], [77.425499, 27.177901], [77.397778, 27.131193], [77.37130900000001, 27.087305999999998], [77.329069, 27.015612], [77.310319, 26.984965], [77.29713100000001, 26.916354000000002], [77.234121, 26.864673], [77.1469610779, 26.8216101334], [77.103482, 26.803925], [77.03168600000001, 26.756164000000002], [77.002212, 26.722854], [76.96766400000001, 26.684155], [76.911821, 26.641030999999998], [76.86438199999999, 26.606366], [76.805294, 26.558703], [76.72770799999999, 26.468979], [76.680536, 26.429998], [76.635578, 26.344258999999997], [76.57945000000001, 26.280074], [76.534634, 26.231078], [76.460845, 26.160967], [76.41000100000001, 26.093062999999997], [76.375851, 26.0356], [76.35622, 26.018279], [76.326705, 25.961351], [76.313705, 25.887841], [76.286156, 25.828156], [76.232938, 25.727874], [76.192147, 25.639864], [76.207965, 25.574304], [76.160353, 25.506883], [76.08649199999999, 25.444815000000002], [76.01867416990001, 25.3897784806], [75.937733, 25.324522], [75.90029863459999, 25.2936031538], [75.8848308038, 25.2903301845], [75.88526800000001, 25.270233], [75.879265, 25.239081], [75.8805, 25.223553], [75.88511100000001, 25.198051], [75.865501, 25.145187999999997], [75.898016, 25.077840000000002], [75.90874587280001, 25.0316757156], [75.93221182010001, 24.9874595619], [75.958203, 24.933449], [76.005784, 24.832608999999998], [75.98301000000001, 24.788625], [75.97333900000001, 24.730953], [75.939411, 24.644606], [75.919686, 24.541893], [75.89805, 24.504973000000003], [75.82981, 24.419472000000003], [75.7260090143, 24.354200582], [75.68432197690001, 24.2790919912], [75.642842, 24.191141000000002], [75.64670478090001, 24.1312068327], [75.64834400000001, 24.069844], [75.64345572270001, 24.0200433795], [75.60086100000001, 23.948204999999998], [75.596821, 23.903499], [75.55457, 23.833165], [75.53837899999999, 23.765121], [75.51367, 23.660393], [75.500338, 23.567509], [75.460561, 23.482264], [75.41249099999999, 23.45592], [75.33412200000001, 23.465605999999998], [75.286337, 23.442673], [75.1888022272, 23.413846043299998], [75.1241457, 23.3982156], [75.067019, 23.359789999999997], [75.050826, 23.34038], [75.042913, 23.335631], [75.0060586914, 23.310222115], [74.9779687335, 23.2764855209], [74.91853870000001, 23.2255232], [74.87867399999999, 23.183572], [74.7760641077, 23.1449211037], [74.7590158, 23.0957635], [74.747038, 23.080689], [74.737549, 23.06329], [74.69499300000001, 23.042607], [74.666939, 23.032708], [74.539834, 22.907459], [74.500786, 22.873881], [74.421513, 22.866009], [74.3470986, 22.8664871], [74.297046, 22.846208], [74.25337400000001, 22.843607000000002], [74.210847, 22.863268], [74.15935400000001, 22.865616], [74.102942, 22.842055], [74.058492, 22.83578], [73.984515, 22.833894], [73.9091, 22.819148000000002], [73.80040253419999, 22.7963945628], [73.71433934, 22.795825439999998], [73.64823, 22.789343], [73.603672, 22.776974], [73.55448093439999, 22.7050879399], [73.462158, 22.630205], [73.4192042773, 22.5881026822], [73.393378, 22.541916], [73.363557, 22.523268], [73.302104, 22.483966], [73.239854, 22.440575], [73.186675, 22.39641], [73.179698, 22.388284], [73.159395, 22.363671], [73.159087, 22.344458], [73.181065, 22.310756], [73.178656, 22.283932999999998], [73.175422, 22.232706], [73.16928300000001, 22.184274000000002], [73.156746, 22.149889], [73.145838, 22.120085999999997], [73.120353, 22.050722], [73.09899399999999, 21.991872], [73.072387, 21.921578], [73.048979, 21.85838], [73.030592, 21.807541], [73.010489, 21.753134000000003], [72.997689, 21.706907], [73.000633, 21.623889], [72.98861337459999, 21.5758091157], [72.978371, 21.535197], [72.969512, 21.501091000000002], [72.95459799999999, 21.464052], [72.926702, 21.399697], [72.91647999999999, 21.37682], [72.890287, 21.317203], [72.880104, 21.294043], [72.86573000000001, 21.255892], [72.85479600000001, 21.232602], [72.840793, 21.206568], [72.851461, 21.171156], [72.8613128, 21.1278829], [72.874083, 21.077673], [72.88999799999999, 21.019949], [72.914294, 20.946851], [72.921021, 20.920848], [72.925984, 20.906867], [72.93641500000001, 20.874651], [72.944978, 20.845167], [72.956092, 20.811373000000003], [72.970474, 20.763319], [72.96576, 20.729778], [72.949119, 20.687336000000002], [72.9335291, 20.6085595], [72.9271335858, 20.544593354], [72.92431099999999, 20.513153], [72.918698, 20.461236], [72.916866, 20.43948], [72.90912700000001, 20.374337999999998], [72.90153400000001, 20.316435], [72.887446, 20.275323200000003], [72.820594, 20.19165], [72.79082100000001, 20.153499], [72.766138, 20.122424], [72.73799100000001, 20.08688], [72.74336799999999, 19.991217], [72.76318500000001, 19.882845], [72.76189900000001, 19.7985273], [72.76033699999999, 19.754447000000003], [72.77248, 19.698038], [72.79082100000001, 19.624601000000002], [72.82182599999999, 19.576592], [72.849578, 19.517672], [72.811737, 19.454407], [72.819464, 19.418238000000002], [72.8322217, 19.3824486], [72.845954, 19.350875], [72.85303900000001, 19.311766], [72.856072, 19.280299], [72.859587, 19.250166], [72.85641199999999, 19.228739], [72.852098, 19.204551], [72.84917, 19.187089], [72.849389, 19.164447], [72.84906600000001, 19.136550999999997], [72.84685300000001, 19.1174289], [72.84363, 19.099273999999998], [72.84133899999999, 19.082018], [72.840535, 19.061911]]"
