state,code,name,zone,address,geometry_type,coordinates
Rajasthan,RMB,Rampura Beri,NWR,"Rampura Bhal, Rajasthan",Point,"[75.64547982849999, 28.5301320576]"
,MGS,MUGHAL SARAI JN,,,Point,"[83.11925000000001, 25.278149]"
Rajasthan,RSWT,Ramgarh Shekhawati,NWR,"Ramgarh, Rajasthan",Point,"[74.993046, 28.169397]"
,BKNA,BAKAINA HALT,,,Point,"[78.27473099999999, 29.035800000000002]"
,HBD,HOSHANGABAD,,,Point,"[77.715594, 22.75274]"
,ANA,ASLANA,,,Point,"[79.319493, 23.860522]"
,BNI,BUDNI,,,Point,"[77.6812826, 22.7871143]"
,YY-IDHW,YY-IDHW,,,,
Assam,DMGN,DHAMALGAON,NFR,"A T Rd, Assam",Point,"[94.85656900000001, 27.325566]"
Andhra Pradesh,LKPL,LAKDIKAPUL,SCR,"Hyderabad, Andhra Pradesh",Point,"[78.463527, 17.404048000000003]"
Madhya Pradesh,BRUD,BARUD,WCR,"Khandwa, Madhya Pradesh",Point,"[76.814085, 22.052142]"
,DVL,DEVLALI,,,Point,"[73.83729, 19.897509]"
,JRTR,Jurtara,,,Point,"[79.76127199999999, 22.253004999999998]"
Madhya Pradesh,REWA,REWA,WCR,"Rewa, Madhya Pradesh",Point,"[81.250615, 24.537122]"
Gujarat,DOK,DHOLKA,WR,"Bagodara Dholka, Gujarat",Point,"[72.433842, 22.731982]"
,NDR,NANDESARI,,,Point,"[73.0952734283, 22.418331636999998]"
,MYG,MIYAGAM KARJAN,,,Point,"[73.120353, 22.050722]"
Uttar Pradesh,MBA,MAHOBA,NCR,"Junction Point - Khajuraho, Uttar Pradesh",Point,"[79.849079, 25.306914]"
Madhya Pradesh,JGZ,Jamgaon,SECR,"Bamhani, Madhya Pradesh",Point,"[80.198945, 22.418426]"
,BHKH,BAGHOI KUSA,,,Point,"[84.46243313289999, 24.8399006513]"
Uttar Pradesh,NOLI,NOLI,NR,"Ghaziabad, Uttar Pradesh",Point,"[77.31077099999999, 28.746571]"
Uttar Pradesh,SUJR,SUJRA,NR,"State Highway 57, Uttar Pradesh",Point,"[77.26134099999999, 29.012729]"
Gujarat,AMOD,Amod,WR,"Amod, Gujarat",Point,"[72.86546467803419, 21.990791167399735]"
,LKD,LAKODARA,,,Point,"[73.09899399999999, 21.991872]"
