State,District,avg_RAS,station_count,avg_supply_index,avg_demand_index,total_schedule_rows,avg_route_connectivity
Andhra Pradesh,Adilabad,0.6072952172389331,16,0.19797396182141822,0.07988949923017097,1215,0.875
Andhra Pradesh,Anantapur,0.33667668313404775,53,0.08176123277410952,0.11665854333444554,1691,0.5094339622641509
Andhra Pradesh,Chittoor,0.34974620148273944,44,0.09953418622508999,0.13693477485081612,1690,1.3636363636363635
Andhra Pradesh,East Godavari,0.6560205779859776,24,0.31905501217157883,0.13911071315086054,2931,0.9166666666666666
Andhra Pradesh,Guntur,0.32514702476275903,61,0.14584928760449414,0.18589055825989226,3430,0.7704918032786885
Andhra Pradesh,Hyderabad,0.6845298644697665,26,0.253177598918677,0.06832940129292299,2440,11.461538461538462
Andhra Pradesh,Karimnagar,0.7825549055215256,11,0.34228674743144194,0.09510971512517372,1441,0.0
Andhra Pradesh,Khammam,0.5171796346300153,23,0.18480419836068962,0.09055471919752897,1633,0.6521739130434783
Andhra Pradesh,Krishna,0.3563155953283957,38,0.15104940301325015,0.18008184976861674,2205,1.1842105263157894
Andhra Pradesh,Kurnool,0.48792393296074993,39,0.0953781456081979,0.08883790001777855,1448,0.3333333333333333
Andhra Pradesh,Mahbubnagar,0.49564314981931523,34,0.08697763979195369,0.07271606495459298,1156,0.11764705882352941
Andhra Pradesh,Medak,0.4736140633200132,14,0.07063475215273048,0.06501075507366297,389,0.14285714285714285
Andhra Pradesh,Nalgonda,0.47603781979356047,23,0.10680720245937639,0.06706181842547454,956,0.0
Andhra Pradesh,Nizamabad,0.3517062773410064,16,0.06950297686271426,0.1148636868261795,432,1.375
Andhra Pradesh,Prakasam,0.6379207819036294,35,0.2800415368287925,0.0800032639711579,3757,0.05714285714285714
Andhra Pradesh,Rangareddy,0.6520402821877153,41,0.19937775468766405,0.0735416349577146,3111,2.926829268292683
Andhra Pradesh,Sri Potti Sriramulu Nellore,0.7305803431361689,28,0.34418817891670095,0.11416257571530745,3681,0.8928571428571429
Andhra Pradesh,Srikakulam,0.6437881949089557,26,0.19831251798412802,0.06590995939190283,1984,0.038461538461538464
Andhra Pradesh,Visakhapatnam,0.4874995293182279,25,0.21466626670817743,0.10581241400351639,2095,2.12
Andhra Pradesh,Vizianagaram,0.5104548500483821,23,0.13256456639652503,0.08673201834862591,1181,0.0
