station_code,total_schedule_rows,unique_trains_serving_station,outbound_routes,inbound_routes,route_connectivity,code,name,State,District,pc11_state_id,pc11_district_id,shrug_population,shrug_households,shrug_area,shrug_population_density,shrug_rail_dist,shrug_city_dist,shrug_city5_dist
BUW,101,101,2.0,2.0,4.0,BUW,BURHWAL,Uttar Pradesh,Bara Banki,9.0,176.0,330803.0,54803.0,64.16027,5155.885410083219,0.0,1.0,27.0
BUX,117,117,0.0,0.0,0.0,BUX,BHANDAK,Maharashtra,Chandrapur,27.0,509.0,775378.0,180458.0,290.6,2668.196834136269,0.0,5.0,102.0
BV,101,101,0.0,0.0,0.0,BV,BABHNAN,Uttar Pradesh,Gonda,9.0,183.0,225029.0,36969.0,50.55977,4450.7520504939,0.0,2.0,19.0
BVA,182,182,0.0,0.0,0.0,BVA,BAURIA JN,West Bengal,Haora,19.0,341.0,3074144.0,669902.0,431.5093,7124.1662694176,0.0,1.0,3.0
BVAC,2,2,0.0,0.0,0.0,,,,,,,,,,,,,
BVB,190,190,0.0,0.0,0.0,BVB,BHADBHADAGHAT,Madhya Pradesh,Bhopal,23.0,444.0,1917051.0,408747.0,350.05,5476.5062133980855,0.0,37.0,0.0
BVBC,2,2,0.0,0.0,0.0,,,,,,,,,,,,,
BVC,24,24,12.0,12.0,24.0,BVC,BHAVNAGAR TERMINUS,Gujarat,Bhavnagar,24.0,481.0,1182401.0,236235.0,408.54,2894.2110931610123,0.0,7.0,7.0
BVH,200,200,0.0,0.0,0.0,BVH,BALLABGARH,Haryana,Faridabad,6.0,88.0,1438855.0,295553.0,218.42,6587.560662942954,0.0,10.0,0.0
BVI,108,108,1.0,1.0,2.0,BVI,BORIVALI,Maharashtra,Mumbai Suburban,27.0,518.0,9356962.0,2105604.0,603.0,15517.34991708126,0.0,35.0,35.0
BVL,146,146,0.0,0.0,0.0,BVL,BIKKAVOLU,Andhra Pradesh,East Godavari,28.0,545.0,1207826.0,354755.0,300.44000000000005,4020.190387431766,0.0,0.0,97.0
BVM,133,133,0.0,0.0,0.0,BVM,BAYYAVARAM,Andhra Pradesh,Visakhapatnam,28.0,544.0,1285565.0,326452.0,632.1600000000001,2033.6069982282963,0.0,0.0,0.0
BVN,20,20,0.0,0.0,0.0,BVN,BISWAN,Uttar Pradesh,Sitapur,9.0,154.0,530784.0,87109.0,106.67,4975.9445017343205,0.0,4.0,4.0
BVNR,44,44,0.0,0.0,0.0,BVNR,BHAVANI NAGAR,Maharashtra,Sangli,27.0,531.0,719357.0,155950.0,354.28,2030.4758947724963,0.0,4.0,4.0
BVO,37,37,0.0,0.0,0.0,BVO,BOGOLU,Andhra Pradesh,Kurnool,28.0,552.0,836451.0,181008.0,347.39,2407.8154235873226,0.0,0.0,208.0
BVP,25,25,0.0,1.0,1.0,BVP,BHAVANAGAR PARA,Gujarat,Bhavnagar,24.0,481.0,1182401.0,236235.0,408.54,2894.2110931610123,0.0,7.0,7.0
BVQ,44,44,0.0,0.0,0.0,BVQ,BHILAVDI,Maharashtra,Sangli,27.0,531.0,719357.0,155950.0,354.28,2030.4758947724963,0.0,4.0,4.0
BVR,62,62,0.0,0.0,0.0,BVR,BANAVAR,Karnataka,Hassan,29.0,574.0,376763.0,91819.0,81.2227,4638.641660521012,0.0,0.0,78.0
BVRM,23,23,2.0,2.0,4.0,BVRM,Bhimavaram Junction,Andhra Pradesh,West Godavari,28.0,546.0,808777.0,214318.0,155.39,5204.820129995495,0.0,0.0,60.0
BVRT,38,36,0.0,0.0,0.0,BVRT,BHIMAVARAM TOWN,Andhra Pradesh,West Godavari,28.0,546.0,808777.0,214318.0,155.39,5204.820129995495,0.0,0.0,60.0
BVS,101,101,0.0,0.0,0.0,BVS,BHIVPURI ROAD,Maharashtra,Raigarh,27.0,520.0,970195.0,230586.0,266.49999999999994,3640.506566604128,0.0,2.0,3.0
BVW,2,2,0.0,0.0,0.0,BVW,Bahminiwala,Punjab,Firozpur,3.0,43.0,552556.0,109027.0,138.58,3987.270890460384,0.0,5.0,65.0
BW,34,34,0.0,0.0,0.0,BW,BIWAI,Rajasthan,Dausa,8.0,109.0,201793.0,35808.0,40.46,4987.469105289174,0.0,43.0,55.0
BWA,60,60,0.0,0.0,0.0,BWA,BHINWALIYA,Rajasthan,Pali,8.0,118.0,460006.0,88647.0,439.14,1047.515598670128,0.0,40.0,72.0
BWB,17,17,0.0,0.0,0.0,BWB,BAGWALI,Punjab,Bathinda,3.0,46.0,499217.0,102610.0,159.09,3137.953359733484,0.0,11.0,125.0
BWC,2,2,0.0,0.0,0.0,BWC,Banwali,Rajasthan,Ganganagar,8.0,99.0,535432.0,108585.0,94.68,5655.175327418673,0.0,4.0,118.0
BWD,63,63,0.0,0.0,0.0,BWD,BELVANDI,Maharashtra,Ahmadnagar,27.0,522.0,912617.0,190941.0,466.57,1956.0130312707636,0.0,3.0,75.0
BWF,10,10,0.0,0.0,0.0,BWF,BUTEWALA,Punjab,Firozpur,3.0,43.0,552556.0,109027.0,138.58,3987.270890460384,0.0,5.0,65.0
BWH,137,137,0.0,0.0,0.0,BWH,BHADAURA,Uttar Pradesh,Ghazipur,9.0,195.0,274360.0,41569.0,62.33,4401.732712979304,0.0,10.0,40.0
BWI,54,54,0.0,0.0,0.0,BWI,BILWAI,Uttar Pradesh,Jaunpur,9.0,194.0,346580.0,50269.0,60.31,5746.642347869341,0.0,8.0,35.0
BWK,22,22,0.0,0.0,0.0,BWK,Bawani Khera,Haryana,Bhiwani,6.0,81.0,321322.0,63244.0,58.07,5533.356294127777,0.0,19.0,126.0
BWL,54,54,0.0,0.0,0.0,BWL,BAWAL,Haryana,Rewari,6.0,85.0,233430.0,47744.0,64.89,3597.318539066112,0.0,2.0,33.0
BWM,100,100,0.0,0.0,0.0,BWM,BHAWANI MANDI,Rajasthan,Jhalawar,8.0,129.0,229291.0,45593.0,110.02,2084.084711870569,0.0,85.0,85.0
