pc11_state_id,pc11_district_id,State,District,shrug_population,shrug_households,shrug_area,shrug_population_density,shrug_rail_dist,shrug_city_dist,shrug_city5_dist
29,583,Karnataka,Bangalore Rural,268744,64465.0,68.45,3926.135865595325,0.0,25.0,25.0
29,584,Karnataka,Ramanagara,267759,60860.0,42.440000000000005,6309.118755890669,0.0,34.0,34.0
30,585,Goa,North Goa,493081,117062.0,479.52,1028.2803636970305,2.0,120.0,450.0
30,586,Goa,South Goa,413733,98341.0,299.02,1383.6298575346132,0.0,153.0,490.0
31,587,Lakshadweep,Lakshadweep,50332,8864.0,21.37,2355.2643893308377,228.0,228.0,228.0
32,588,Kerala,Kasaragod,509047,104170.0,290.37,1753.0977718083823,0.0,0.0,135.0
32,589,Kerala,Kannur,1640986,352069.0,1003.66,1635.0018930713588,0.0,30.0,66.0
32,590,Kerala,Wayanad,31580,7519.0,40.74,775.1595483554246,68.0,68.0,68.0
32,591,Kerala,Kozhikode,2072572,462007.0,944.15,2195.172377270561,0.0,0.0,0.0
32,592,Kerala,Malappuram,1817211,345962.0,899.59,2020.043575406574,0.0,0.0,18.0
32,593,Kerala,Palakkad,676810,154935.0,399.69000000000005,1693.3373364357374,0.0,0.0,46.0
32,594,Kerala,Thrissur,2096406,508333.0,1161.17,1805.4255621485224,0.0,0.0,30.0
32,595,Kerala,Ernakulam,2234363,554096.0,925.26,2414.848799256425,0.0,0.0,0.0
32,596,Kerala,Idukki,52045,12604.0,35.43,1468.9528648038386,32.0,85.0,62.0
32,597,Kerala,Kottayam,565393,140397.0,273.71000000000004,2065.6643893171604,0.0,32.0,50.0
32,598,Kerala,Alappuzha,1148146,287342.0,550.11,2087.1207576666484,0.0,0.0,42.0
32,599,Kerala,Pathanamthitta,131613,35069.0,81.21000000000001,1620.650166235685,0.0,49.0,93.0
32,600,Kerala,Kollam,1187158,292696.0,416.25,2852.0312312312312,0.0,0.0,60.0
32,601,Kerala,Thiruvananthapuram,1771596,446914.0,577.46,3067.9111973123677,0.0,0.0,0.0
33,602,Tamil Nadu,Thiruvallur,2428395,615252.0,537.66,4516.599709853811,0.0,0.0,0.0
33,603,Tamil Nadu,Chennai,4646732,1154982.0,175.0,26552.754285714287,0.0,0.0,0.0
33,604,Tamil Nadu,Kancheepuram,2538336,644880.0,664.593,3819.3841945371078,0.0,0.0,3.0
